date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:47:51	732/732	---M--	200	added ('OK')	image/webp	date:Thu,%2022%20Dec%202022%2016:19:40%20GMT	https://dappersa.co.za/assets/img/logo.webp	C:/My%20Web%20Sites/Dapper/dappersa.co.za/assets/img/logo.webp	(from https://dappersa.co.za/index-two.html)
18:47:52	730/730	---M--	200	added ('OK')	image/webp	date:Fri,%2023%20Dec%202022%2007:16:47%20GMT	https://dappersa.co.za/assets/img/logo-light.webp	C:/My%20Web%20Sites/Dapper/dappersa.co.za/assets/img/logo-light.webp	(from https://dappersa.co.za/index-two.html)
18:47:52	782/782	---M--	200	added ('OK')	image/webp	date:Fri,%2023%20Dec%202022%2007:07:18%20GMT	https://dappersa.co.za/assets/img/shop/1.webp	C:/My%20Web%20Sites/Dapper/dappersa.co.za/assets/img/shop/1.webp	(from https://dappersa.co.za/index-two.html)
18:47:53	782/782	---M--	200	added ('OK')	image/webp	date:Fri,%2023%20Dec%202022%2007:07:19%20GMT	https://dappersa.co.za/assets/img/shop/2.webp	C:/My%20Web%20Sites/Dapper/dappersa.co.za/assets/img/shop/2.webp	(from https://dappersa.co.za/index-two.html)
18:47:53	782/782	---M--	200	added ('OK')	image/webp	date:Fri,%2023%20Dec%202022%2007:07:19%20GMT	https://dappersa.co.za/assets/img/shop/3.webp	C:/My%20Web%20Sites/Dapper/dappersa.co.za/assets/img/shop/3.webp	(from https://dappersa.co.za/index-two.html)
18:47:53	782/782	---M--	200	added ('OK')	image/webp	date:Fri,%2023%20Dec%202022%2006:48:15%20GMT	https://dappersa.co.za/assets/img/shop/4.webp	C:/My%20Web%20Sites/Dapper/dappersa.co.za/assets/img/shop/4.webp	(from https://dappersa.co.za/index-two.html)
18:47:54	782/782	---M--	200	added ('OK')	image/webp	date:Fri,%2023%20Dec%202022%2010:41:26%20GMT	https://dappersa.co.za/assets/img/shop/5.webp	C:/My%20Web%20Sites/Dapper/dappersa.co.za/assets/img/shop/5.webp	(from https://dappersa.co.za/index-two.html)
18:47:54	782/782	---M--	200	added ('OK')	image/webp	date:Fri,%2023%20Dec%202022%2010:41:27%20GMT	https://dappersa.co.za/assets/img/shop/6.webp	C:/My%20Web%20Sites/Dapper/dappersa.co.za/assets/img/shop/6.webp	(from https://dappersa.co.za/index-two.html)
18:47:54	782/782	---M--	200	added ('OK')	image/webp	date:Fri,%2023%20Dec%202022%2010:41:27%20GMT	https://dappersa.co.za/assets/img/shop/7.webp	C:/My%20Web%20Sites/Dapper/dappersa.co.za/assets/img/shop/7.webp	(from https://dappersa.co.za/index-two.html)
18:47:55	782/782	---M--	200	added ('OK')	image/webp	date:Fri,%2023%20Dec%202022%2010:41:27%20GMT	https://dappersa.co.za/assets/img/shop/8.webp	C:/My%20Web%20Sites/Dapper/dappersa.co.za/assets/img/shop/8.webp	(from https://dappersa.co.za/index-two.html)
18:47:55	984/984	---M--	200	added ('OK')	image/webp	date:Thu,%2022%20Dec%202022%2018:31:19%20GMT	https://dappersa.co.za/assets/img/photos/divider1.webp	C:/My%20Web%20Sites/Dapper/dappersa.co.za/assets/img/photos/divider1.webp	(from https://dappersa.co.za/index-two.html)
18:47:55	20248/20248	---M--	200	added ('OK')	image/webp	date:Fri,%2023%20Dec%202022%2010:41:14%20GMT	https://dappersa.co.za/assets/img/shape/4.webp	C:/My%20Web%20Sites/Dapper/dappersa.co.za/assets/img/shape/4.webp	(from https://dappersa.co.za/index-two.html)
